comarea,comarea_name,housing_crowd,hh_poverty,unemployed,no_hs,perc_young_old,income,hardship_index,median_age,num_households,family_households,family_w_kids,owner_ratio,mean_travel_time,percent_walk,perc_20_units,population
1,Rogers Park,7.7,23.6,8.7,18.2,27.5,23939,39,30,25537,48,26,18,37,6,49,55062
2,West Ridge,7.8,17.2,8.8,20.8,38.5,23040,46,35,25491,68,34,47,33,4,19,76215
3,Uptown,3.8,24,8.9,11.8,22.2,35787,20,34,30633,36,16,24,35,6,61,57973
4,Lincoln Square,3.4,10.9,8.2,13.4,25.5,37524,17,34,18651,52,24,31,34,6,20,41715
5,North Center,0.3,7.5,5.2,4.5,26.2,57123,6,33,14796,47,19,41,34,4,5,35789
6,Lake View,1.1,11.4,4.7,2.6,17,60058,5,31,56962,25,7,30,34,4,53,100470
7,Lincoln Park,0.8,12.3,5.1,3.6,21.5,71551,2,31,35774,29,11,40,30,6,42,67710
8,Near North Side,1.9,12.9,7,2.5,22.6,88669,1,37,45432,30,8,41,25,25,87,88893
9,Edison Park,1.1,3.3,6.5,7.4,35.3,40959,8,41,4786,64,24,80,29,3,5,11605
10,Norwood Park,2,5.4,9,11.5,39.5,32875,21,43,15440,66,24,80,30,2,8,37089
11,Jefferson Park,2.7,8.6,12.4,13.4,35.5,27751,25,39,10496,64,26,67,32,2,4,26808
12,Forest Glen,1.1,7.5,6.8,4.9,40.5,44164,11,42,6959,73,30,89,31,1,1,19019
13,North Park,3.9,13.2,9.9,14.4,39,26576,33,36,6515,66,29,54,32,7,18,18842
14,Albany Park,11.3,19.2,10,32.9,32,21323,53,30,17082,73,40,34,36,4,14,51992
15,Portage Park,4.1,11.6,12.6,19.3,34,24336,35,36,23727,67,30,57,34,4,5,64307
16,Irving Park,6.3,13.1,10,22.4,31.6,27249,34,33,20876,64,33,41,35,3,10,54606
17,Dunning,5.2,10.6,10,16.2,33.6,26282,28,40,15571,71,28,80,33,2,7,43689
18,Montclare,8.1,15.3,13.8,23.5,38.6,22014,50,35,4139,72,34,67,33,3,2,13830
19,Belmont Cragin,10.8,18.7,14.6,37.3,37.3,15461,70,30,21851,79,44,55,37,3,1,79910
20,Hermosa,6.9,20.5,13.1,41.6,36.4,15089,71,27,7266,81,50,45,35,2,3,24144
21,Avondale,6,15.3,9.2,24.7,31,20039,42,30,13693,70,39,37,34,5,3,37368
22,Logan Square,3.2,16.8,8.2,14.8,26.2,31908,23,29,28891,59,33,31,34,3,10,73046
23,Humboldt Park,14.8,33.9,17.3,35.4,38,13781,85,25,17830,80,47,38,38,4,5,56427
24,West Town,2.3,14.7,6.6,12.9,21.7,43198,10,30,35324,49,24,29,30,7,10,84502
25,Austin,6.3,28.6,22.6,24.4,37.9,15957,73,30,35251,76,37,43,39,2,9,95260
26,West Garfield Park,9.4,41.7,25.8,24.5,43.6,10934,92,28,6891,71,35,29,40,2,17,17163
27,East Garfield Park,8.2,42.4,19.6,21.3,43.2,12961,83,29,6553,70,36,28,36,6,11,19996
28,Near West Side,3.8,20.6,10.7,9.6,22.2,44689,15,28,18175,47,22,26,28,23,49,62872
29,North Lawndale,7.4,43.1,21.2,27.6,42.7,12034,87,26,12402,76,42,26,39,4,6,35947
30,South Lawndale,15.2,30.7,15.8,54.8,33.8,10402,96,26,19213,85,57,36,35,8,3,74851
31,Lower West Side,9.6,25.8,15.8,40.7,32.6,16444,76,26,12797,73,46,26,34,9,3,32888
32,Loop,1.5,14.7,5.7,3.1,13.5,65526,3,37,8996,33,7,46,23,34,94,35880
33,Near South Side,1.3,13.8,4.9,7.4,21.8,59077,7,33,4647,45,23,37,32,12,72,23620
34,Armour Square,5.7,40.1,16.7,34.5,38.3,16148,82,39,4730,62,26,29,29,14,23,13455
35,Douglas,1.8,29.6,18.2,14.3,30.7,23791,47,30,10811,49,27,12,33,10,74,20781
36,Oakland,1.3,39.7,28.7,18.4,40.4,19252,78,25,2260,61,40,9,41,4,42,6645
37,Fuller Park,3.2,51.2,33.9,26.6,44.9,10432,97,36,1277,57,24,35,35,1,23,2439
38,Grand Boulevard,3.3,29.3,24.3,15.9,39.5,23472,57,29,9983,58,33,13,37,8,42,22313
39,Kenwood,2.4,21.7,15.7,11.3,35.4,35911,26,36,8935,45,22,29,32,6,64,17189
40,Washington Park,5.6,42.1,28.6,25.4,42.8,13785,88,26,4742,64,37,10,48,4,32,11502
41,Hyde Park,1.5,18.4,8.4,4.3,26.2,39056,14,32,14360,39,16,32,27,27,56,26827
42,Woodlawn,2.9,30.7,23.4,16.5,36.1,18672,58,30,10163,57,30,18,42,7,25,23268
43,South Shore,2.8,31.1,20,14,35.7,19398,55,33,25669,56,28,23,44,3,33,50418
44,Chatham,3.3,27.8,24,14.5,40.3,18881,60,38,15717,60,24,41,41,1,8,31120
45,Avalon Park,1.4,17.2,21.1,10.6,39.3,24454,41,39,4069,70,24,74,42,3,3,9985
46,South Chicago,4.7,29.8,19.7,26.6,41.1,16579,75,29,12569,72,38,43,43,4,5,28263
47,Burnside,6.8,33,18.6,19.3,42.7,12515,79,30,960,82,35,67,44,3,0,2254
48,Calumet Heights,2.1,11.5,20,11,44,28887,38,41,5855,74,23,78,42,2,1,13188
49,Roseland,2.5,19.8,20.3,16.9,41.2,17949,52,35,16750,75,28,64,45,2,2,42433
50,Pullman,1.5,21.6,22.8,13.1,38.6,20588,51,33,3263,67,30,51,42,2,5,6613
51,South Deering,4,29.2,16.3,21,39.5,14685,65,33,5543,76,34,69,42,1,3,14614
52,East Side,6.8,19.2,12.1,31.9,42.8,17104,64,31,7404,77,41,70,34,3,0,23737
53,West Pullman,3.3,25.9,19.4,20.5,42.1,16563,62,31,10681,79,34,70,47,1,3,27742
54,Riverdale,5.8,56.5,34.6,27.5,51.5,8201,98,20,2868,81,55,13,45,4,3,7394
55,Hegewisch,3.3,17.1,9.6,19.2,42.9,22677,44,38,3821,66,28,80,33,3,0,9418
56,Garfield Ridge,2.6,8.8,11.3,19.3,38.1,26353,32,38,12901,72,29,81,36,2,2,36396
57,Archer Heights,8.5,14.1,16.5,35.9,39.2,16134,67,32,4040,73,35,62,33,4,1,13142
58,Brighton Park,14.4,23.6,13.9,45.1,39.3,13089,84,27,12465,78,49,51,34,4,1,44813
59,McKinley Park,7.2,18.7,13.4,32.9,35.6,16954,61,30,5097,72,40,51,32,5,1,15767
60,Bridgeport,4.5,18.9,13.7,22.2,31.3,22694,43,33,12290,65,33,43,30,5,1,33637
61,New City,11.9,29,23,41.5,38.9,12765,91,25,13990,77,48,35,36,8,1,39561
62,West Elsdon,11.1,15.6,16.7,37,37.7,15754,69,33,5123,73,37,79,32,4,1,19237
63,Gage Park,15.8,23.4,18.2,51.5,38.8,12171,93,26,9713,81,54,61,37,2,2,40873
64,Clearing,2.7,8.9,9.5,18.8,37.6,25113,29,37,8653,66,28,74,34,2,1,25891
65,West Lawn,5.8,14.9,9.6,33.6,39.6,16907,56,31,8949,76,40,83,34,2,3,33108
66,Chicago Lawn,7.6,27.9,17.1,31.2,40.6,13231,80,26,17077,78,47,52,42,2,4,53098
67,West Englewood,4.8,34.4,35.9,26.3,40.7,11317,89,29,12370,79,34,53,46,2,2,29929
68,Englewood,3.8,46.6,28,28.5,42.5,11888,94,28,12619,69,36,32,44,3,11,25075
69,Greater Grand Crossing,3.6,29.6,23,16.5,41,17285,66,34,14383,64,30,37,43,2,10,31766
70,Ashburn,4,10.4,11.7,17.7,36.9,23482,37,34,12817,79,41,91,37,1,0,43792
71,Auburn Gresham,4,27.6,28.3,18.5,41.9,15528,74,34,18270,74,30,53,45,2,6,46278
72,Beverly,0.9,5.1,8,3.7,40.5,39523,12,38,8030,72,35,82,37,1,4,20822
73,Washington Heights,1.1,16.9,20.8,13.7,42.6,19713,48,38,9849,77,24,77,42,2,2,27453
74,Mount Greenwood,1,3.4,8.7,4.3,36.8,34381,16,36,6910,70,32,87,32,3,5,19277
75,Morgan Park,0.8,13.2,15,10.8,40.3,27149,30,37,8508,73,31,77,38,2,5,22394
76,O'Hare,3.6,15.4,7.1,10.9,30.3,25828,24,36,5924,50,17,37,32,3,38,12377
77,Edgewater,4.1,18.2,9.2,9.7,23.8,33385,19,35,30873,39,16,31,37,5,59,55965
