date,region,vaccine,type,number
2020-12-27,Piemonte,AstraZeneca,first dose,0
2020-12-27,Piemonte,AstraZeneca,second dose,0
2020-12-28,Piemonte,AstraZeneca,first dose,0
2020-12-28,Piemonte,AstraZeneca,second dose,0
2020-12-29,Piemonte,AstraZeneca,first dose,0
2020-12-29,Piemonte,AstraZeneca,second dose,0
2020-12-30,Piemonte,AstraZeneca,first dose,0
2020-12-30,Piemonte,AstraZeneca,second dose,0
2020-12-31,Piemonte,AstraZeneca,first dose,0
2020-12-31,Piemonte,AstraZeneca,second dose,0
2021-01-01,Piemonte,AstraZeneca,first dose,0
2021-01-01,Piemonte,AstraZeneca,second dose,0
2021-01-02,Piemonte,AstraZeneca,first dose,0
2021-01-02,Piemonte,AstraZeneca,second dose,0
2021-01-03,Piemonte,AstraZeneca,first dose,0
2021-01-03,Piemonte,AstraZeneca,second dose,0
2021-01-04,Piemonte,AstraZeneca,first dose,0
2021-01-04,Piemonte,AstraZeneca,second dose,0
2021-01-05,Piemonte,AstraZeneca,first dose,0
2021-01-05,Piemonte,AstraZeneca,second dose,0
2021-01-06,Piemonte,AstraZeneca,first dose,0
2021-01-06,Piemonte,AstraZeneca,second dose,0
2021-01-07,Piemonte,AstraZeneca,first dose,0
2021-01-07,Piemonte,AstraZeneca,second dose,0
2021-01-08,Piemonte,AstraZeneca,first dose,0
2021-01-08,Piemonte,AstraZeneca,second dose,0
2021-01-09,Piemonte,AstraZeneca,first dose,0
2021-01-09,Piemonte,AstraZeneca,second dose,0
2021-01-10,Piemonte,AstraZeneca,first dose,0
2021-01-10,Piemonte,AstraZeneca,second dose,0
2021-01-11,Piemonte,AstraZeneca,first dose,0
2021-01-11,Piemonte,AstraZeneca,second dose,0
2021-01-12,Piemonte,AstraZeneca,first dose,0
2021-01-12,Piemonte,AstraZeneca,second dose,0
2021-01-13,Piemonte,AstraZeneca,first dose,0
2021-01-13,Piemonte,AstraZeneca,second dose,0
2021-01-14,Piemonte,AstraZeneca,first dose,0
2021-01-14,Piemonte,AstraZeneca,second dose,0
2021-01-15,Piemonte,AstraZeneca,first dose,0
2021-01-15,Piemonte,AstraZeneca,second dose,0
2021-01-16,Piemonte,AstraZeneca,first dose,0
2021-01-16,Piemonte,AstraZeneca,second dose,0
2021-01-17,Piemonte,AstraZeneca,first dose,0
2021-01-17,Piemonte,AstraZeneca,second dose,0
2021-01-18,Piemonte,AstraZeneca,first dose,0
2021-01-18,Piemonte,AstraZeneca,second dose,0
2021-01-19,Piemonte,AstraZeneca,first dose,0
2021-01-19,Piemonte,AstraZeneca,second dose,0
2021-01-20,Piemonte,AstraZeneca,first dose,0
2021-01-20,Piemonte,AstraZeneca,second dose,0
2021-01-21,Piemonte,AstraZeneca,first dose,0
2021-01-21,Piemonte,AstraZeneca,second dose,0
2021-01-22,Piemonte,AstraZeneca,first dose,0
2021-01-22,Piemonte,AstraZeneca,second dose,0
2021-01-23,Piemonte,AstraZeneca,first dose,0
2021-01-23,Piemonte,AstraZeneca,second dose,0
2021-01-24,Piemonte,AstraZeneca,first dose,0
2021-01-24,Piemonte,AstraZeneca,second dose,0
2021-01-25,Piemonte,AstraZeneca,first dose,0
2021-01-25,Piemonte,AstraZeneca,second dose,0
2021-01-26,Piemonte,AstraZeneca,first dose,0
2021-01-26,Piemonte,AstraZeneca,second dose,0
