fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop,per_dem_2016,per_gop_2016
01001,AL,55601,158,3.6,59338,19.3,14.8,27.7,27.7,217.1,0.239568549532,0.734357893029
01003,AL,218022,5403,3.6,57588,13.9,16.7,28.1,31.3,217.1,0.195653098098,0.773514719949
01005,AL,24881,-277,5.2,34382,43.9,14.7,27.3,12.2,217.1,0.466602502406,0.522714148219
01007,AL,22400,-155,4,46064,27.8,12.7,26.7,11.5,217.1,0.214220393233,0.769661636946
01009,AL,57840,13,3.5,50412,18,11.2,26.2,12.6,217.1,0.0846990230066,0.89851875197
01011,AL,10138,-38,4.7,29267,68.3,14.6,27.1,13.3,217.1,0.750904062965,0.242288874708
01013,AL,19680,-218,4.8,37365,36.3,15.2,27.2,16.1,217.1,0.427864133564,0.563154864709
01015,AL,114277,-387,4.7,45400,26.5,11.4,26.6,18,217.1,0.278558763931,0.692396994259
01017,AL,33615,-143,3.9,39917,30.7,12.6,26.4,13.2,217.1,0.418275511685,0.566337639715
01019,AL,26032,217,3.6,42132,24.7,10.8,26.3,12.9,217.1,0.1451013996,0.838712748738
01021,AL,44153,36,3.6,47547,23.3,13.2,27,14.2,217.1,0.159353601753,0.825417693783
01023,AL,12841,-94,5.5,39907,32.1,14.8,27.7,13,217.1,0.427765547606,0.564391854706
01025,AL,23920,-177,7.5,40741,31.7,16.1,27.8,12.6,217.1,0.441558441558,0.549551638837
01027,AL,13275,-92,3.9,39201,25.8,11.7,26,10.2,217.1,0.187766281193,0.795800365186
01029,AL,14987,81,4.2,46495,22.9,11.1,26.1,13.7,217.1,0.10471524801,0.878444580527
01031,AL,51909,132,3.9,55122,21.9,15,27.3,23.4,217.1,0.204455711013,0.771461999708
01033,AL,54762,253,4.6,49055,21,9.7,25.6,18.7,217.1,0.2962722326,0.678875984732
01035,AL,12277,-158,5.2,32613,40.1,16,27.9,10.7,217.1,0.469050894085,0.521626165368
01037,AL,10715,-42,4.2,42423,30.1,12.8,26.8,11.6,217.1,0.340800306337,0.646371816963
01039,AL,36986,-92,4.6,40203,29.5,15.4,27.6,14.9,217.1,0.15039828044,0.835883171071
01041,AL,13824,-37,4.1,39057,30.8,14.7,26.9,15.6,217.1,0.265994881638,0.721529110685
01043,AL,83442,606,3.3,45796,19.7,11,26.1,13.7,217.1,0.100059016042,0.878105048554
01045,AL,48956,-298,4.2,45309,24.4,15.4,27.5,17,217.1,0.236772842026,0.741150561315
01047,AL,38310,-925,6.5,34035,48,15,27.6,15.1,217.1,0.684783769354,0.30880939669
01049,AL,71385,-19,3.8,39491,29.6,9.9,24.8,12.7,217.1,0.141148508779,0.834892279384
01051,AL,81887,471,3.4,60367,16.3,14.2,27.4,24.5,217.1,0.228586912343,0.748380978187
01053,AL,36748,-251,4.6,38418,32.8,16.3,28,12.7,217.1,0.308814829422,0.67586932229
01055,AL,102501,-436,4.1,44903,28.8,10.8,26.4,17.7,217.1,0.238073331186,0.739108432626
01057,AL,16433,-41,4.1,39254,37.4,11.7,26.7,12.9,217.1,0.165690580771,0.818081991215
01059,AL,31363,-227,3.7,39388,30.1,10,25.4,12.9,217.1,0.183772480134,0.791802593057
01061,AL,26314,-96,3.9,37823,29.5,15.7,27.7,11.1,217.1,0.13054292821,0.854876061412
01063,AL,8233,-85,6.7,28524,44,12.9,27.2,10.1,217.1,0.823940765117,0.17235705471
01065,AL,14726,-83,5.1,34724,35.6,13.2,26.9,14.1,217.1,0.595755305868,0.396004993758
01067,AL,17209,69,4.4,46027,27.2,15.4,27.6,18,217.1,0.285144068854,0.701384557815
01069,AL,104722,349,4,47993,21.9,16.2,27.8,21,217.1,0.250939804901,0.727266238401
01071,AL,51736,-171,4.1,41929,26.8,9.5,25.1,14.2,217.1,0.176232860236,0.800721674284
01073,AL,659300,-246,3.7,55013,22.6,12.1,26.8,32.4,217.1,0.522493114704,0.450220777564
01075,AL,13844,-58,3.8,40936,25.3,11.5,26.8,12.5,217.1,0.14932910114,0.839561390853
01077,AL,92387,-204,4.2,48707,17.9,9.7,25.8,23.9,217.1,0.254476592894,0.714580166439
01079,AL,32957,-120,4.2,43909,31.4,9.9,25.5,11.7,217.1,0.246939752445,0.733912329891
01081,AL,163941,2300,3.6,48937,19.3,13.5,26.8,34.1,217.1,0.363928001665,0.595148089062
01083,AL,96174,2098,3.5,64863,15.8,10.1,26,25.5,217.1,0.237055837563,0.731573604061
01085,AL,9974,-130,7.3,33973,39.6,15.4,27.8,14.1,217.1,0.731276213301,0.262282804074
01087,AL,18439,-372,5.5,32495,39.7,14.3,27.2,20.7,217.1,0.82727480567,0.159350708733
01089,AL,366519,4854,3.5,63755,16.9,10.1,25.8,41.7,217.1,0.391508280399,0.559336063158
01091,AL,19066,-300,5,37733,34.5,14.4,27.2,15.4,217.1,0.512148337596,0.477164778955
01093,AL,29763,-8,4.1,37887,27.4,10.7,26,13.1,217.1,0.110904584882,0.873063816605
01095,AL,96109,500,3.4,46233,27.9,10.3,25.8,19.2,217.1,0.140511940512,0.835607035607
01097,AL,413757,-758,4.7,43598,31.4,16.6,28.2,22.9,217.1,0.418815450434,0.557492334151
01099,AL,21067,-235,6.2,39556,31.6,16.2,28.2,14.1,217.1,0.423171330388,0.566617574865
01101,AL,225763,-1316,4,49640,31.3,15.1,27.6,32.1,217.1,0.620363321068,0.358753119316
01103,AL,119089,278,3.5,52797,20.1,10.4,25.9,21.7,217.1,0.224360384869,0.747974635434
01105,AL,9140,-179,6.5,26814,52.8,13.7,26.9,15.7,217.1,0.727497621313,0.266983824929
01107,AL,19938,-244,4.6,37586,30.8,12.3,27.4,13.5,217.1,0.418369496524,0.574468085106
01109,AL,33338,-97,4.5,37259,30.6,14.6,26.9,23.6,217.1,0.386871401152,0.589712092131
01111,AL,22725,42,4,40546,31.4,11.9,26.2,14.9,217.1,0.226061204344,0.75982230997
01113,AL,57781,753,4,39104,31.6,14.2,27.1,16.5,217.1,0.500470317726,0.48129180602
01115,AL,88690,714,3.5,57284,15,11.4,26.7,16.5,217.1,0.146295173577,0.832406357909
01117,AL,215707,1978,2.9,75663,8.9,12.3,27,42.1,217.1,0.231100314491,0.734275461656
01119,AL,12691,-89,5.9,27859,48.1,13.4,27.4,21.8,217.1,0.741511500548,0.247379126897
01121,AL,79828,-194,4.3,41630,26.4,12,26.9,14.3,217.1,0.364501174062,0.620025287495
01123,AL,40497,-116,4.2,42205,30.7,12.7,26.6,18.3,217.1,0.284857328145,0.700767401643
01125,AL,208911,1202,3.7,52557,20.9,12.6,26.8,30.3,217.1,0.388529886914,0.583798404073
01127,AL,63711,-224,4.2,45434,24.7,11.6,26.5,11.6,217.1,0.153404233492,0.827822042882
01129,AL,16378,-154,5.8,44424,25.8,15.9,27.8,11.1,217.1,0.278615167216,0.710197833255
01131,AL,10627,-85,9.6,25385,50.6,15.6,27.6,12.5,217.1,0.710254306809,0.284987694832
01133,AL,23660,-85,4.2,41156,27.6,10.3,25.6,13.5,217.1,0.0849341784495,0.899561189664
02013,AK,3515,20,3,70081,12.5,2.1,13.9,12.7,276.9,0.37715947248,0.528870018006
02016,AK,5723,-3,3.5,82633,8.1,3.2,12.3,16.4,276.9,0.37715947248,0.528870018006
02020,AK,291538,-2726,5.5,82113,12.1,-7.8,12.2,35.3,276.9,0.37715947248,0.528870018006
02050,AK,18216,137,12.8,44304,41.2,-3.6,13.2,12.3,276.9,0.37715947248,0.528870018006
